imageName,Equipo,Año,Precio,Precio_Oferta,Talla,Tipo,Disponible,Tipo_Region,Notas,Estado,,,,,,,,,,
Iloilo,Borussia Dortmund,-,300,,XL,,TRUE,Europa,,,,,,,,,,,,Iloilo
Innsbruck,Real Madrid,2024-2025,800,,M,,TRUE,Europa,Valverde,,,,,,,,,,,Innsbruck
Iquitos,España,2025,"1,300",,M,,TRUE,Seleccion,,,,,,,,,,,,Iquitos
Islandia,Alemania,-,800,,XL,,TRUE,Seleccion,"Ballack, sin talla visible. Posible XL",,,,,,,,,,,Islandia
Jaipur,Real Madrid,2024,"1,100",,M,,TRUE,Europa,,,,,,,,,,,,Jaipur
Jerez,Atlanta,-,250,,M,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Jerez
Jodhpur,Peru,-,300,,L,,TRUE,Seleccion,,,,,,,,,,,,Jodhpur
Joensuu,Real Madrid,2024,"1,100",,M,,TRUE,Europa,"Con etiqueta. Sin precio, posiblemente igual a la anterior. ",,,,,,,,,,,Joensuu
Kaduna,Zacapa,2018,200,,XL,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Kaduna
Kaliningrado,Palmeiras,2021,350,,M,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Kaliningrado
Kaunas,Mexico,-,"1,150",,M,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Kaunas
Kawaii,Santos Laguna,2008,300,,M,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Kawaii
Kharkiv,Mexico,-,600,,XL,,TRUE,Seleccion,"Sin talla visible, posible XL. Rafa Marquez",,,,,,,,,,,Kharkiv
Kigali,Seattle,2017,250,,L,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Kigali
Kingston,Real Madrid,2019,350,,L,,TRUE,Europa,,,,,,,,,,,,Kingston
Koper,Mexico,-,960,,XL,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Koper
Krakovia,Mexico,-,350,,XXXL,,TRUE,Seleccion,"Sin talla. visible, posible XXXL. ",,,,,,,,,,,Krakovia
Kudos,Mexico,-,"1,150",,L,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Kudos
Kyoto,Mexico,2025-2026,960,,M,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Kyoto
Leipzig,Mexico,-,500,,XL,,TRUE,Seleccion,Chicharito,,,,,,,,,,,Leipzig
Lhasa,Brasil,-,350,,XL,,TRUE,Seleccion,,,,,,,,,,,,Lhasa
Libreville,Brasil,-,280,,XL,,TRUE,Seleccion,,,,,,,,,,,,Libreville
Limerick,Guatemala,"2025, 2025",475,,M,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Limerick
Linz,AC Milan,2024,850,,L,,TRUE,Europa,Con etiqueta,,,,,,,,,,,Linz
Luanda,Colombia,2026,950,,L,,TRUE,Seleccion,,,,,,,,,,,,Luanda
Lucca,Bayern,-,350,,L,,TRUE,Europa,,,,,,,,,,,,Lucca
Lucknow,FFC,-,350,,M,,TRUE,,Desconozco equipo,,,,,,,,,,,Lucknow
Malabo,PSG,2022,400,,L,,TRUE,Europa,,,,,,,,,,,,Malabo
Malmo,Juventus,2018,250,,L,,TRUE,Europa,,,,,,,,,,,,Malmo
Manaus,Santos FC,-,500,,XS,,TRUE,Conmebol/Concacaf,Dorsal 10,,,,,,,,,,,Manaus
Maputo,Francia,-,350,,XL,,TRUE,Seleccion,"Dos precios, 300 y 350",,,,,,,,,,,Maputo
Maribor,Arsenal,2023,300,,S,,TRUE,Europa,,,,,,,,,,,,Maribor
Marimba,Sttutgart,-,250,,S,,TRUE,Europa,Detalle en el pecho. Dorsal Gomez,,,,,,,,,,,Marimba
Medellin,Alemania,2025-2026,960,,M,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Medellin
Merida,Francia,2018,300,,M,,TRUE,Seleccion,,,,,,,,,,,,Merida
Minsk,Toulosse,-,200,,,,TRUE,Europa,Sin talla. Posible M o L,,,,,,,,,,,Minsk
Mixco,Alemania,2015,300,,XL,,TRUE,Seleccion,Sucia,,,,,,,,,,,Mixco
Monrovia,Alemania,"2022, 2015",250,,XL,,TRUE,Seleccion,,,,,,,,,,,,Monrovia
Muscat,Alemania,"2022, 2015",250,,XL,,TRUE,Seleccion,,,,,,,,,,,,Muscat
Mwanza,AC Milan,2022,700,,L,,TRUE,Europa,Con etiqueta. Rafa Leao,,,,,,,,,,,Mwanza
Naha,Tottenham,-,250,,S,,TRUE,Europa,Dorsal 10,,,,,,,,,,,Naha
Nairobi,Juventus,-,200,,XL,,TRUE,Europa,Se ve pequeña,,,,,,,,,,,Nairobi
Nantes,Atletico Mineiro,-,250,,L,,TRUE,Conmebol/Concacaf,Sin talla visible. Psible L,,,,,,,,,,,Nantes
Nicosia,Juventus,2018,450,,L,,TRUE,Europa,,,,,,,,,,,,Nicosia
Nuuk,Juventus,-,500,,M,,TRUE,Europa,Del Piero,,,,,,,,,,,Nuuk
Odessa,Valencia,2025-2026,600,,XL,,TRUE,Europa,,,,,,,,,,,,Odessa
Orleans,PSG,2010,450,,M,,TRUE,Europa,,,,,,,,,,,,Orleans
Oruro,Real Madrid,2024,650,,L,,TRUE,Europa,Manga larga. Bellingham,,,,,,,,,,,Oruro
Osijek,Valencia,2024,450,,XL,,TRUE,Europa,Con etiqueta,,,,,,,,,,,Osijek
Palermo,Alemania,2014,250,,M,,TRUE,Seleccion,Parece manchada detalles estéticos. Schweinsteiger,,,,,,,,,,,Palermo
Panini,Colo colo,2024-2025,350,,XL,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Panini
Parma,Alemania,2025-2026,960,,L,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Parma
